Subject_1,Subject_2,Subject_3,Subject_4,Subject_5,Average Score,Pass Rate
37,83,98,88,98,80.8,1
24,92,17,81,65,55.8,0
53,34,79,60,40,53.2,0
99,32,67,32,13,48.6,0
20,47,19,7,6,19.8,0
66,16,32,47,75,47.2,0
58,85,21,29,37,46.0,0
50,53,7,26,26,32.4,0
97,20,29,96,27,53.8,0
63,96,68,60,47,66.8,1
18,3,34,63,48,33.2,0
16,43,91,29,92,54.2,0
45,5,98,36,23,41.4,0
92,45,52,94,98,76.2,1
59,96,62,84,31,66.4,1
86,32,66,17,24,45.0,0
94,53,57,66,45,63.0,1
23,31,46,85,22,41.4,0
65,26,1,89,16,39.4,0
32,8,42,47,38,33.4,0
92,41,25,98,49,61.0,1
24,23,12,59,6,24.8,0
56,35,44,19,64,43.6,0
7,15,13,75,86,39.2,0
14,91,97,65,31,59.6,0
86,62,85,50,24,61.4,1
57,62,61,21,57,51.6,0
57,85,48,51,41,56.4,0
69,14,53,59,100,59.0,0
96,7,52,59,4,43.6,0
67,5,95,93,46,61.2,1
98,54,39,51,15,51.4,0
12,29,18,16,62,27.4,0
18,91,57,54,89,61.8,1
100,89,61,22,8,56.0,0
11,0,57,0,33,20.2,0
95,47,88,0,15,49.0,0
60,63,62,68,21,54.8,0
92,66,75,25,15,54.6,0
50,100,85,56,28,63.8,1
77,91,68,46,93,75.0,1
61,68,75,15,89,61.6,1
89,47,84,38,99,71.4,1
32,93,100,22,9,51.2,0
68,99,33,51,94,69.0,1
9,18,57,95,0,35.8,0
68,3,15,23,79,37.6,0
1,91,31,90,83,59.2,0
23,11,49,34,32,29.8,0
32,60,50,42,100,56.8,0
11,66,64,32,39,42.4,0
73,42,43,28,12,39.6,0
11,94,45,1,34,37.0,0
86,80,89,7,92,70.8,1
25,73,89,33,6,45.2,0
67,57,74,28,35,52.2,0
88,20,35,9,100,50.4,0
72,23,63,98,48,60.8,1
98,35,81,95,23,66.4,1
22,61,95,36,11,45.0,0
54,12,22,88,98,54.8,0
29,16,61,83,88,55.4,0
85,12,58,18,48,44.2,0
99,11,60,18,75,52.6,0
8,70,27,77,94,55.2,0
51,82,15,68,98,62.8,1
11,24,51,84,99,53.8,0
52,22,15,56,38,36.6,0
52,41,57,38,13,40.2,0
94,4,34,86,92,62.0,1
74,17,75,8,73,49.4,0
57,16,6,45,12,27.2,0
39,41,8,49,26,32.6,0
65,4,28,36,37,34.0,0
82,7,64,85,16,50.8,0
70,88,44,3,35,48.0,0
69,30,18,60,53,46.0,0
38,90,73,89,18,61.6,1
38,66,44,12,91,50.2,0
57,19,91,71,60,59.6,0
38,0,2,76,91,41.4,0
61,62,24,55,32,46.8,0
37,5,57,43,44,37.2,0
31,44,60,46,20,40.2,0
79,84,74,100,35,74.4,1
98,18,19,56,17,41.6,0
46,48,13,14,30,30.2,0
0,53,2,15,86,31.2,0
56,74,11,73,95,61.8,1
15,71,75,23,27,42.2,0
7,91,35,89,7,45.8,0
57,59,49,27,91,56.6,0
100,40,99,63,26,65.6,1
62,16,72,32,83,53.0,0
76,91,28,12,45,50.4,0
34,5,81,68,46,46.8,0
24,65,9,55,29,36.4,0
4,32,64,17,95,42.4,0
48,10,84,25,62,45.8,0
88,85,58,26,48,61.0,1
76,32,97,98,0,60.6,1
20,54,5,91,80,50.0,0
68,94,4,2,52,44.0,0
22,100,52,36,73,56.6,0
73,82,16,84,77,66.4,1
72,0,50,44,76,48.4,0
3,61,64,31,33,38.4,0
91,94,71,38,25,63.8,1
33,53,2,49,11,29.6,0
64,53,4,93,93,61.4,1
56,16,46,22,78,43.6,0
100,84,13,65,74,67.2,1
50,37,63,97,37,56.8,0
49,97,81,29,78,66.8,1
90,50,62,97,51,70.0,1
37,96,87,78,29,65.4,1
50,80,4,28,3,33.0,0
9,55,16,73,16,33.8,0
83,87,68,33,5,55.2,0
52,65,76,42,74,61.8,1
22,54,79,94,74,64.6,1
15,7,3,3,55,16.6,0
24,66,95,66,26,55.4,0
92,31,49,60,50,56.4,0
18,20,4,81,91,42.8,0
41,60,21,20,69,42.2,0
0,4,11,89,45,29.8,0
33,48,77,89,44,58.2,0
26,72,25,46,85,50.8,0
55,93,62,47,60,63.4,1
80,25,35,0,7,29.4,0
98,51,78,46,55,65.6,1
85,13,89,27,86,60.0,1
77,87,1,25,13,40.6,0
58,55,6,2,22,28.6,0
17,37,98,14,63,45.8,0
88,100,27,73,38,65.2,1
56,16,85,89,43,57.8,0
24,16,12,83,24,31.8,0
67,9,66,17,99,51.6,0
85,33,7,39,82,49.2,0
41,40,100,5,51,47.4,0
25,63,97,58,55,59.6,0
58,69,100,32,52,62.2,1
21,20,69,69,3,36.4,0
93,74,61,61,93,76.4,1
94,23,54,8,2,36.2,0
30,39,100,35,23,45.4,0
94,5,65,83,91,67.6,1
74,3,78,5,93,50.6,0
50,61,56,65,78,62.0,1
74,7,25,50,44,40.0,0
43,4,69,25,67,41.6,0
18,83,96,19,11,45.4,0
46,0,89,13,63,42.2,0
37,36,10,99,76,51.6,0
2,32,5,49,9,19.4,0
4,22,9,43,1,15.8,0
12,39,1,83,64,39.8,0
62,100,72,16,8,51.6,0
74,14,23,37,34,36.4,0
93,94,48,68,61,72.8,1
59,49,77,74,8,53.4,0
33,75,98,34,0,48.0,0
39,63,21,59,63,49.0,0
92,71,10,100,13,57.2,0
59,29,34,84,36,48.4,0
4,82,77,25,61,49.8,0
3,88,41,88,17,47.4,0
39,71,38,13,31,38.4,0
50,37,96,22,62,53.4,0
14,96,24,16,96,49.2,0
65,77,52,50,38,56.4,0
50,69,5,66,6,39.2,0
50,71,41,63,14,47.8,0
28,32,93,26,35,42.8,0
28,37,56,96,100,63.4,1
26,54,32,67,85,52.8,0
65,9,4,73,96,49.4,0
37,12,30,46,99,44.8,0
87,51,55,14,28,47.0,0
7,4,28,46,67,30.4,0
75,44,1,26,94,48.0,0
35,35,25,42,26,32.6,0
68,19,10,73,37,41.4,0
5,71,22,46,89,46.6,0
45,11,89,12,61,43.6,0
81,88,96,59,42,73.2,1
75,99,67,4,36,56.2,0
71,91,30,8,50,50.0,0
28,77,39,40,85,53.8,0
10,22,0,45,100,35.4,0
20,89,35,53,86,56.6,0
56,0,62,53,54,45.0,0
39,14,20,46,72,38.2,0
52,8,73,51,56,48.0,0
25,40,34,62,24,37.0,0
89,74,37,1,6,41.4,0
81,90,33,90,16,62.0,1
42,58,50,53,23,45.2,0
24,70,51,69,87,60.2,1
32,48,28,62,21,38.2,0
25,27,84,48,70,50.8,0
80,83,48,19,85,63.0,1
91,62,60,48,70,66.2,1
0,95,12,93,86,57.2,0
50,55,82,61,31,55.8,0
29,28,48,44,92,48.2,0
29,15,39,18,17,23.6,0
0,77,46,65,91,55.8,0
93,37,50,62,3,49.0,0
0,7,28,54,2,18.2,0
31,9,73,82,33,45.6,0
96,86,54,91,31,71.6,1
49,6,92,7,64,43.6,0
56,66,87,86,58,70.6,1
71,53,100,66,50,68.0,1
96,91,7,33,34,52.2,0
95,87,77,31,45,67.0,1
15,67,36,53,84,51.0,0
13,94,54,47,81,57.8,0
6,73,6,32,22,27.8,0
84,18,18,35,28,36.6,0
59,81,1,0,46,37.4,0
68,19,10,1,66,32.8,0
86,11,19,4,36,31.2,0
37,93,8,97,52,57.4,0
43,98,85,23,80,65.8,1
73,29,58,86,95,68.2,1
80,80,13,8,39,44.0,0
65,24,72,21,3,37.0,0
25,57,28,97,86,58.6,0
36,74,69,17,84,56.0,0
41,99,40,37,33,50.0,0
16,36,24,75,86,47.4,0
85,84,26,56,30,56.2,0
5,90,39,97,11,48.4,0
52,70,9,44,16,38.2,0
25,84,91,61,45,61.2,1
63,1,53,64,50,46.2,0
52,35,25,28,20,32.0,0
10,39,10,35,58,30.4,0
38,98,53,97,54,68.0,1
23,21,68,55,32,39.8,0
35,19,82,98,80,62.8,1
61,97,72,25,65,64.0,1
72,72,39,16,0,39.8,0
88,60,42,41,24,51.0,0
38,34,2,100,43,43.4,0
50,93,97,11,18,53.8,0
100,43,58,48,60,61.8,1
16,73,56,54,46,49.0,0
11,61,79,87,82,64.0,1
7,94,20,80,86,57.4,0
100,79,69,71,24,68.6,1
81,88,11,14,58,50.4,0
25,25,46,31,9,27.2,0
15,70,16,22,25,29.6,0
84,85,6,13,78,53.2,0
6,8,47,71,58,38.0,0
86,92,81,94,93,89.2,1
38,98,17,58,16,45.4,0
13,30,23,98,59,44.6,0
44,97,2,36,42,44.2,0
39,89,54,86,38,61.2,1
14,3,92,85,24,43.6,0
12,81,32,15,41,36.2,0
65,54,98,41,33,58.2,0
29,12,12,17,31,20.2,0
95,98,38,45,28,60.8,1
61,92,61,56,15,57.0,0
55,9,29,24,83,40.0,0
4,64,93,48,2,42.2,0
44,13,29,67,17,34.0,0
61,36,24,47,64,46.4,0
52,78,72,14,48,52.8,0
87,67,11,58,36,51.8,0
60,100,42,69,38,61.8,1
55,62,45,87,10,51.8,0
61,76,97,24,70,65.6,1
51,3,58,71,19,40.4,0
92,62,53,73,97,75.4,1
56,89,40,2,5,38.4,0
4,4,53,46,86,38.6,0
48,8,98,19,60,46.6,0
34,49,81,61,16,48.2,0
87,2,31,98,12,46.0,0
88,72,67,13,100,68.0,1
97,10,55,66,91,63.8,1
28,8,66,24,97,44.6,0
75,41,8,78,39,48.2,0
24,4,10,58,97,38.6,0
87,78,37,71,4,55.4,0
47,89,17,69,36,51.6,0
59,47,76,27,68,55.4,0
76,80,39,44,95,66.8,1
61,92,57,66,55,66.2,1
39,97,39,90,76,68.2,1
32,5,87,18,79,44.2,0
39,91,96,58,58,68.4,1
47,40,12,44,88,46.2,0
52,41,99,62,26,56.0,0
37,59,6,4,44,30.0,0
57,30,22,41,9,31.8,0
31,52,29,38,30,36.0,0
81,99,1,77,76,66.8,1
92,11,38,65,95,60.2,1
12,45,26,16,94,38.6,0
97,59,63,87,34,68.0,1
69,82,29,70,73,64.6,1
95,97,62,27,59,68.0,1
78,93,36,92,21,64.0,1
67,19,95,99,67,69.4,1
90,63,16,11,21,40.2,0
16,9,64,21,89,39.8,0
81,49,13,63,46,50.4,0
28,75,35,98,51,57.4,0
75,6,28,10,32,30.2,0
5,78,31,50,74,47.6,0
57,86,25,97,45,62.0,1
97,28,3,80,98,61.2,1
12,38,14,28,28,24.0,0
74,31,1,46,77,45.8,0
83,21,74,26,66,54.0,0
80,55,91,92,20,67.6,1
46,79,100,58,83,73.2,1
5,18,56,68,2,29.8,0
0,57,37,14,33,28.2,0
60,34,63,24,23,40.8,0
11,17,14,79,26,29.4,0
71,59,45,88,16,55.8,0
92,52,7,78,26,51.0,0
45,49,70,2,92,51.6,0
63,43,52,23,59,48.0,0
2,19,45,14,24,20.8,0
93,77,70,16,83,67.8,1
99,8,37,47,59,50.0,0
62,85,1,87,71,61.2,1
10,63,76,80,71,60.0,1
20,17,93,63,81,54.8,0
94,37,31,10,44,43.2,0
88,32,40,7,10,35.4,0
85,50,87,40,16,55.6,0
75,45,31,78,79,61.6,1
53,85,91,19,32,56.0,0
73,39,31,96,1,48.0,0
96,32,76,29,32,53.0,0
76,25,21,65,37,44.8,0
89,45,14,97,43,57.6,0
48,74,60,66,5,50.6,0
8,5,72,94,31,42.0,0
40,75,7,71,49,48.4,0
91,61,83,61,6,60.4,1
74,83,79,3,5,48.8,0
57,21,25,2,40,29.0,0
59,13,74,81,11,47.6,0
86,11,12,24,44,35.4,0
18,54,99,44,7,44.4,0
92,52,54,31,50,55.8,0
43,81,69,17,82,58.4,0
21,36,95,55,58,53.0,0
2,27,73,34,60,39.2,0
92,53,62,78,96,76.2,1
6,75,48,93,84,61.2,1
30,57,60,23,19,37.8,0
36,3,91,19,59,41.6,0
23,49,48,50,95,53.0,0
35,97,99,65,78,74.8,1
33,35,5,38,41,30.4,0
57,11,2,17,39,25.2,0
20,14,96,98,25,50.6,0
7,99,93,86,41,65.2,1
43,13,77,1,36,34.0,0
68,37,40,61,59,53.0,0
13,88,83,1,69,50.8,0
16,88,27,65,34,46.0,0
100,4,64,39,75,56.4,0
55,35,44,22,46,40.4,0
30,10,9,66,13,25.6,0
79,73,92,9,75,65.6,1
93,0,4,19,7,24.6,0
42,75,0,56,63,47.2,0
83,27,36,46,100,58.4,0
75,36,48,43,55,51.4,0
27,78,5,60,19,37.8,0
77,1,72,36,19,41.0,0
25,28,0,34,69,31.2,0
100,58,68,32,50,61.6,1
77,11,19,52,87,49.2,0
42,97,88,49,28,60.8,1
56,38,94,55,42,57.0,0
49,22,43,37,83,46.8,0
22,44,51,79,49,49.0,0
7,84,0,7,28,25.2,0
95,4,85,46,33,52.6,0
64,54,89,42,73,64.4,1
29,81,16,25,7,31.6,0
46,75,90,71,88,74.0,1
45,67,32,0,18,32.4,0
30,79,13,52,47,44.2,0
68,89,61,91,65,74.8,1
63,69,62,72,32,59.6,0
40,88,47,12,72,51.8,0
76,30,74,67,97,68.8,1
3,18,69,97,81,53.6,0
12,22,82,74,0,38.0,0
87,53,70,88,84,76.4,1
14,64,75,70,14,47.4,0
20,18,59,92,88,55.4,0
32,48,95,34,43,50.4,0
89,10,98,71,77,69.0,1
73,65,45,8,2,38.6,0
84,25,71,47,65,58.4,0
69,27,92,25,24,47.4,0
11,4,97,47,36,39.0,0
78,43,99,14,42,55.2,0
47,86,69,45,42,57.8,0
20,22,79,46,14,36.2,0
24,35,74,50,14,39.4,0
67,20,12,85,18,40.4,0
33,77,67,51,26,50.8,0
28,27,34,7,15,22.2,0
35,29,17,1,48,26.0,0
76,3,89,88,93,69.8,1
74,6,94,73,38,57.0,0
12,30,70,62,55,45.8,0
41,60,41,55,35,46.4,0
83,67,6,53,0,41.8,0
43,44,46,12,21,33.2,0
20,85,91,8,25,45.8,0
8,14,9,87,41,31.8,0
71,23,79,48,25,49.2,0
90,36,67,49,23,53.0,0
18,99,59,38,73,57.4,0
88,17,18,35,73,46.2,0
96,54,68,46,48,62.4,1
98,97,32,20,80,65.4,1
21,47,36,14,34,30.4,0
91,70,31,10,9,42.2,0
72,77,76,56,24,61.0,1
1,63,34,6,84,37.6,0
17,66,41,38,40,40.4,0
74,23,59,45,18,43.8,0
67,89,41,31,38,53.2,0
35,100,96,35,2,53.6,0
72,7,96,69,40,56.8,0
67,12,48,59,1,37.4,0
59,4,43,26,31,32.6,0
20,7,71,49,66,42.6,0
43,57,2,85,69,51.2,0
1,86,43,1,80,42.2,0
34,97,86,29,7,50.6,0
21,43,57,35,68,44.8,0
76,92,30,46,54,59.6,0
79,61,29,54,15,47.6,0
11,16,15,11,7,12.0,0
83,2,15,29,22,30.2,0
91,4,83,64,29,54.2,0
20,83,69,21,81,54.8,0
71,31,32,15,75,44.8,0
37,97,13,35,96,55.6,0
22,65,84,1,90,52.4,0
72,64,74,66,51,65.4,1
61,22,25,67,81,51.2,0
54,5,34,21,42,31.2,0
14,85,59,100,11,53.8,0
48,41,37,81,44,50.2,0
34,29,87,29,77,51.2,0
5,66,79,6,51,41.4,0
13,72,14,20,34,30.6,0
65,90,1,34,81,54.2,0
77,19,81,9,24,42.0,0
65,24,53,32,35,41.8,0
94,13,64,79,53,60.6,1
51,2,98,40,5,39.2,0
24,12,97,7,20,32.0,0
97,67,24,78,67,66.6,1
44,59,11,31,95,48.0,0
91,12,30,77,19,45.8,0
17,92,59,62,5,47.0,0
31,92,42,1,59,45.0,0
22,82,30,4,82,44.0,0
33,9,88,1,10,28.2,0
49,30,55,78,72,56.8,0
86,82,8,98,20,58.8,0
72,27,61,6,79,49.0,0
15,96,3,3,39,31.2,0
16,100,51,92,51,62.0,1
35,37,49,62,100,56.6,0
62,61,98,6,26,50.6,0
91,85,13,70,100,71.8,1
85,4,54,1,61,41.0,0
90,20,78,20,9,43.4,0
86,57,38,4,64,49.8,0
12,84,89,84,52,64.2,1
81,100,44,31,35,58.2,0
80,98,59,10,62,61.8,1
20,51,54,25,67,43.4,0
33,51,81,98,92,71.0,1
51,28,37,41,20,35.4,0
41,12,63,16,8,28.0,0
40,0,1,59,47,29.4,0
28,96,9,57,59,49.8,0
20,27,74,33,7,32.2,0
58,85,71,48,78,68.0,1
16,59,86,87,44,58.4,0
82,68,31,43,64,57.6,0
86,100,7,76,71,68.0,1
86,42,0,50,23,40.2,0
98,23,16,4,19,32.0,0
20,57,30,99,10,43.2,0
51,14,82,6,27,36.0,0
50,57,4,4,93,41.6,0
95,7,63,9,37,42.2,0
95,91,80,94,7,73.4,1
24,72,65,78,49,57.6,0
66,48,35,67,77,58.6,0
40,88,61,9,20,43.6,0
35,11,90,1,12,29.8,0
52,31,94,15,31,44.6,0
31,97,10,9,14,32.2,0
16,39,17,54,72,39.6,0
24,58,77,88,21,53.6,0
29,83,84,43,31,54.0,0
50,45,20,98,31,48.8,0
93,38,11,46,17,41.0,0
20,12,20,7,45,20.8,0
6,22,95,74,85,56.4,0
21,88,21,91,28,49.8,0
12,81,1,28,84,41.2,0
78,51,26,49,94,59.6,0
78,22,87,43,76,61.2,1
21,42,36,60,96,51.0,0
55,2,62,18,22,31.8,0
28,29,38,24,100,43.8,0
7,57,15,71,0,30.0,0
4,2,64,3,98,34.2,0
95,63,97,88,9,70.4,1
20,45,90,26,65,49.2,0
40,12,8,35,85,36.0,0
89,57,53,11,80,58.0,0
77,13,33,52,19,38.8,0
74,15,94,69,55,61.4,1
82,100,57,3,3,49.0,0
19,9,23,98,25,34.8,0
36,84,53,20,73,53.2,0
37,45,3,59,56,40.0,0
44,19,16,70,3,30.4,0
92,13,2,87,100,58.8,0
79,57,54,3,23,43.2,0
33,29,81,18,30,38.2,0
59,59,18,48,62,49.2,0
82,21,23,75,29,46.0,0
57,30,99,63,18,53.4,0
47,44,99,93,54,67.4,1
54,96,17,62,91,64.0,1
46,74,56,44,32,50.4,0
16,69,3,19,46,30.6,0
90,14,69,46,77,59.2,0
74,8,89,15,68,50.8,0
60,9,49,2,76,39.2,0
93,69,80,50,18,62.0,1
41,34,45,25,68,42.6,0
92,63,36,83,48,64.4,1
20,73,63,4,99,51.8,0
69,89,3,38,34,46.6,0
0,23,56,99,69,49.4,0
40,53,45,59,59,51.2,0
56,30,83,23,88,56.0,0
35,84,29,23,29,40.0,0
85,91,6,34,54,54.0,0
91,13,9,79,15,41.4,0
53,94,88,76,69,76.0,1
43,72,44,99,55,62.6,1
83,81,56,20,67,61.4,1
49,32,90,6,69,49.2,0
14,81,31,74,19,43.8,0
87,14,47,70,20,47.6,0
41,25,13,56,36,34.2,0
57,20,81,68,2,45.6,0
86,89,36,87,48,69.2,1
18,88,84,11,60,52.2,0
40,32,49,67,70,51.6,0
85,32,80,23,60,56.0,0
60,97,27,57,42,56.6,0
40,38,85,48,16,45.4,0
97,69,69,97,64,79.2,1
73,84,4,1,21,36.6,0
56,65,73,97,15,61.2,1
50,38,85,75,87,67.0,1
39,37,59,58,9,40.4,0
98,63,62,48,63,66.8,1
31,6,20,19,25,20.2,0
67,85,14,84,78,65.6,1
85,91,13,26,39,50.8,0
57,27,25,62,65,47.2,0
24,2,71,43,96,47.2,0
41,98,5,38,51,46.6,0
22,88,49,42,18,43.8,0
68,50,10,11,73,42.4,0
7,23,91,40,35,39.2,0
100,84,71,54,8,63.4,1
46,14,47,81,41,45.8,0
59,83,69,11,1,44.6,0
6,79,2,2,26,23.0,0
39,32,91,0,7,33.8,0
100,31,47,100,3,56.2,0
93,69,18,31,8,43.8,0
11,10,45,15,0,16.2,0
62,20,29,12,33,31.2,0
3,27,94,58,26,41.6,0
68,24,2,96,67,51.4,0
24,19,33,25,4,21.0,0
98,60,91,92,8,69.8,1
49,5,82,59,43,47.6,0
10,65,46,72,84,55.4,0
87,97,85,2,75,69.2,1
91,29,89,20,27,51.2,0
89,61,32,84,34,60.0,1
51,33,40,50,46,44.0,0
81,57,74,56,22,58.0,0
47,21,16,68,10,32.4,0
93,14,90,34,32,52.6,0
83,15,33,65,98,58.8,0
39,27,46,38,69,43.8,0
72,19,0,71,86,49.6,0
62,66,3,57,24,42.4,0
46,37,14,62,20,35.8,0
98,56,52,45,13,52.8,0
99,75,16,38,8,47.2,0
98,76,78,81,96,85.8,1
5,90,22,58,90,53.0,0
97,45,37,13,99,58.2,0
71,61,34,18,29,42.6,0
77,83,24,39,87,62.0,1
13,25,86,21,47,38.4,0
82,50,2,41,18,38.6,0
72,27,83,44,70,59.2,0
77,62,72,18,46,55.0,0
13,37,52,60,35,39.4,0
39,80,29,8,63,43.8,0
32,51,88,13,74,51.6,0
52,98,58,77,93,75.6,1
40,67,67,91,7,54.4,0
1,85,40,54,15,39.0,0
92,61,47,29,11,48.0,0
34,10,63,49,84,48.0,0
20,68,47,19,100,50.8,0
66,43,32,72,60,54.6,0
8,67,34,80,97,57.2,0
87,95,64,7,44,59.4,0
86,46,39,75,53,59.8,0
75,45,46,14,18,39.6,0
25,51,92,21,20,41.8,0
50,37,19,28,50,36.8,0
3,54,70,91,27,49.0,0
3,21,75,44,66,41.8,0
85,65,87,33,90,72.0,1
54,0,71,86,37,49.6,0
5,85,24,81,16,42.2,0
60,11,5,89,26,38.2,0
7,82,64,56,92,60.2,1
98,39,13,34,47,46.2,0
83,55,48,12,60,51.6,0
48,45,61,7,42,40.6,0
19,96,89,38,84,65.2,1
48,63,61,53,8,46.6,0
87,36,48,40,16,45.4,0
87,20,50,58,38,50.6,0
54,40,38,12,63,41.4,0
10,18,10,76,45,31.8,0
44,0,39,18,75,35.2,0
71,71,60,11,60,54.6,0
32,44,89,91,68,64.8,1
7,24,90,45,86,50.4,0
29,46,86,48,46,51.0,0
83,81,17,65,67,62.6,1
93,32,35,81,100,68.2,1
18,27,39,83,96,52.6,0
75,14,40,38,1,33.6,0
62,28,73,65,50,55.6,0
74,76,9,13,81,50.6,0
50,72,38,27,2,37.8,0
83,69,26,1,92,54.2,0
37,2,15,93,39,37.2,0
1,80,40,11,34,33.2,0
64,54,44,78,89,65.8,1
100,84,61,48,94,77.4,1
24,22,23,37,27,26.6,0
20,53,17,35,98,44.6,0
44,72,52,29,59,51.2,0
97,31,66,66,27,57.4,0
43,78,40,62,22,49.0,0
74,47,31,56,99,61.4,1
32,23,38,33,55,36.2,0
27,36,6,67,36,34.4,0
55,64,64,46,19,49.6,0
18,28,73,59,17,39.0,0
91,34,42,94,90,70.2,1
10,48,37,63,68,45.2,0
7,33,47,55,75,43.4,0
64,30,3,49,68,42.8,0
29,87,58,66,74,62.8,1
44,3,25,26,45,28.6,0
63,90,50,49,5,51.4,0
58,14,29,41,100,48.4,0
36,41,100,34,86,59.4,0
5,67,17,72,28,37.8,0
76,58,46,16,95,58.2,0
21,67,68,36,48,48.0,0
12,33,85,52,86,53.6,0
50,2,41,97,31,44.2,0
50,84,45,20,43,48.4,0
10,67,0,91,62,46.0,0
23,98,12,97,10,48.0,0
99,50,16,98,81,68.8,1
85,23,18,36,84,49.2,0
7,27,4,16,100,30.8,0
35,18,63,90,97,60.6,1
10,53,44,46,11,32.8,0
20,10,91,4,80,41.0,0
55,19,40,45,11,34.0,0
69,16,18,25,47,35.0,0
51,95,69,54,99,73.6,1
74,32,61,87,22,55.2,0
14,26,74,63,80,51.4,0
50,52,77,90,81,70.0,1
91,50,46,3,6,39.2,0
34,47,72,71,44,53.6,0
80,80,96,95,71,84.4,1
18,62,37,66,58,48.2,0
68,12,46,60,30,43.2,0
79,95,21,92,85,74.4,1
42,66,53,9,41,42.2,0
63,20,79,75,65,60.4,1
40,23,34,55,29,36.2,0
56,93,46,34,18,49.4,0
7,25,70,29,6,27.4,0
66,64,35,24,36,45.0,0
0,14,36,12,7,13.8,0
4,59,72,0,35,34.0,0
34,65,62,22,8,38.2,0
33,45,77,3,29,37.4,0
94,74,98,71,2,67.8,1
13,59,76,44,95,57.4,0
33,44,60,82,15,46.8,0
65,39,16,33,15,33.6,0
59,65,65,89,12,58.0,0
55,30,33,38,66,44.4,0
7,86,77,54,26,50.0,0
92,52,38,64,16,52.4,0
29,52,12,20,18,26.2,0
52,18,56,24,85,47.0,0
30,80,54,22,31,43.4,0
61,73,9,99,71,62.6,1
53,51,19,31,13,33.4,0
49,27,52,23,78,45.8,0
21,29,62,3,76,38.2,0
58,86,7,81,11,48.6,0
30,77,33,81,97,63.6,1
74,75,48,78,56,66.2,1
94,92,25,17,95,64.6,1
85,37,80,86,87,75.0,1
49,7,40,5,68,33.8,0
43,63,28,27,10,34.2,0
64,18,8,26,33,29.8,0
43,67,99,81,14,60.8,1
50,12,82,48,69,52.2,0
55,75,50,36,16,46.4,0
57,86,89,28,32,58.4,0
59,90,88,54,9,60.0,1
46,22,84,20,12,36.8,0
100,32,23,10,16,36.2,0
67,46,24,93,72,60.4,1
20,83,82,82,11,55.6,0
36,41,16,100,47,48.0,0
27,40,98,46,17,45.6,0
77,98,70,12,81,67.6,1
100,12,99,30,1,48.4,0
15,8,72,37,74,41.2,0
53,55,85,96,99,77.6,1
86,44,33,8,87,51.6,0
7,6,35,17,2,13.4,0
27,69,43,20,27,37.2,0
53,53,64,99,20,57.8,0
98,12,56,48,53,53.4,0
9,52,43,46,52,40.4,0
73,45,12,36,23,37.8,0
1,85,80,99,13,55.6,0
9,34,24,2,16,17.0,0
11,53,23,28,42,31.4,0
24,99,59,89,64,67.0,1
83,27,15,46,80,50.2,0
91,57,75,26,52,60.2,1
41,58,46,93,33,54.2,0
36,5,6,95,95,47.4,0
24,32,54,57,6,34.6,0
56,11,15,79,42,40.6,0
99,76,6,99,50,66.0,1
72,31,74,7,96,56.0,0
86,88,71,44,85,74.8,1
58,3,66,28,28,36.6,0
97,97,27,76,78,75.0,1
86,43,89,3,89,62.0,1
8,4,55,95,83,49.0,0
49,74,14,31,27,39.0,0
